id,name,party,sector,country
UL,Ursula von der Leyen,CDU,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
SW,Sahra Wagenknecht,DieLinke,Politik,Deutschland
CS,Constanze Stelzenmüller,,Recht,USA
500,Folge 500,,,
CDU,Partei CDU,,,
SPD,Partei SPD,,,
DieLinke ,Partei Die Linke,,,
CL,Christian Lindner,FDP,Politik,Deutschland
KS,Karl Schögel,,Geschichte,Deutschland
LM,Ljudmyla Melnyk,,Wissenschaft,Ukraine
KD,Kristina Dunz,,Journalismus,Deutschland
FDP,Partei FDP,,,
501,Folge 501,,,
EL,Egils Levits,,Politik,Lettland
AB,Annalena Baerbock,Bündnis90/​Die Grünen,Politik,Deutschland
FT,Frans Timmermans,,Politik,Niederlande
AM,Andrij Melnyk,,Politik,Deutschland
AGL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ER,Egon Ramms,,Militär,Deutschland
Bündnis90/​Die Grünen,Partei Bündnis90/​Die Grünen,,,
502,Folge 502,,,
RH,Robert Habeck,Bündnis 90/​Die Grünen,Politik,Deutschland
CM,Claudia Major,,Wissenschaft,Deutschland
KP,Katja Petrowskaja,,Journalismus,Deutschland
RK,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
